Column1,City1,City2,City3,City4,City5,City6,City7,City8,City9,City10,City11,City12,City13,City14,City15,City16,City17,City18,City19,City20,City21,City22,City23,City24,City25,City26,City27,City28,City29,City30,City31,City32,City33,City34,City35,City36,City37,City38,City39,City40,City41,City42,City43,City44,City45,City46,City47,City48,City49,City50
City11,94.0,45.0,54.0,61.0,95.0,89.0,61.0,40.0,87.0,90.0,0.0,120.0,26.0,93.0,34.0,87.0,39.0,90.0,58.0,53.0,48.0,79.0,115.0,14.0,103.0,81.0,38.0,82.0,44.0,63.0,94.0,44.0,70.0,76.0,20.0,84.0,74.0,54.0,90.0,78.0,89.0,35.0,86.0,69.0,61.0,71.0,78.0,109.0,23.0,97.0
City12,112.0,37.0,78.0,63.0,81.0,74.0,79.0,87.0,110.0,73.0,120.0,0.0,57.0,31.0,108.0,55.0,55.0,55.0,118.0,75.0,115.0,120.0,78.0,34.0,91.0,76.0,62.0,91.0,22.0,67.0,111.0,35.0,105.0,85.0,10.0,72.0,114.0,19.0,72.0,52.0,68.0,99.0,81.0,76.0,57.0,16.0,82.0,23.0,40.0,82.0
City13,67.0,74.0,31.0,77.0,86.0,68.0,20.0,100.0,39.0,24.0,26.0,57.0,0.0,51.0,64.0,94.0,73.0,18.0,88.0,88.0,88.0,66.0,76.0,49.0,1.0,115.0,57.0,79.0,39.0,24.0,83.0,48.0,62.0,53.0,97.0,40.0,61.0,65.0,26.0,58.0,24.0,104.0,98.0,98.0,88.0,80.0,85.0,57.0,73.0,24.0
City14,68.0,75.0,47.0,93.0,51.0,69.0,81.0,62.0,42.0,88.0,93.0,31.0,51.0,0.0,39.0,69.0,106.0,59.0,75.0,74.0,88.0,71.0,96.0,31.0,81.0,44.0,16.0,42.0,118.0,37.0,64.0,72.0,57.0,99.0,31.0,55.0,42.0,67.0,64.0,99.0,45.0,64.0,22.0,82.0,60.0,35.0,15.0,23.0,78.0,76.0
City15,23.0,61.0,46.0,64.0,35.0,36.0,85.0,50.0,31.0,70.0,34.0,108.0,64.0,39.0,0.0,118.0,20.0,127.0,61.0,72.0,22.0,65.0,56.0,63.0,84.0,95.0,93.0,42.0,48.0,84.0,103.0,100.0,56.0,73.0,53.0,43.0,53.0,67.0,27.0,27.0,101.0,77.0,21.0,79.0,26.0,35.0,103.0,69.0,48.0,99.0
City16,62.0,45.0,39.0,68.0,55.0,58.0,121.0,76.0,67.0,77.0,87.0,55.0,94.0,69.0,118.0,0.0,33.0,63.0,72.0,71.0,46.0,39.0,127.0,62.0,68.0,48.0,38.0,36.0,64.0,33.0,25.0,51.0,108.0,73.0,94.0,103.0,72.0,22.0,30.0,52.0,88.0,122.0,95.0,101.0,58.0,12.0,52.0,60.0,55.0,66.0
City17,57.0,93.0,34.0,44.0,40.0,74.0,91.0,36.0,42.0,98.0,39.0,55.0,73.0,106.0,20.0,33.0,0.0,54.0,67.0,72.0,43.0,30.0,34.0,29.0,72.0,12.0,24.0,10.0,38.0,65.0,56.0,32.0,92.0,66.0,42.0,126.0,48.0,31.0,40.0,120.0,87.0,64.0,63.0,33.0,19.0,62.0,57.0,61.0,51.0,80.0
City18,100.0,97.0,81.0,30.0,39.0,84.0,59.0,76.0,58.0,42.0,90.0,55.0,18.0,59.0,127.0,63.0,54.0,0.0,18.0,70.0,51.0,71.0,120.0,52.0,49.0,70.0,86.0,50.0,35.0,79.0,65.0,81.0,102.0,34.0,63.0,43.0,109.0,54.0,61.0,84.0,108.0,115.0,121.0,62.0,51.0,74.0,17.0,7.0,81.0,11.0
City19,24.0,96.0,108.0,67.0,80.0,81.0,52.0,31.0,74.0,58.0,58.0,118.0,88.0,75.0,61.0,72.0,67.0,18.0,0.0,40.0,51.0,36.0,53.0,85.0,66.0,31.0,120.0,54.0,79.0,68.0,65.0,73.0,46.0,19.0,31.0,95.0,47.0,37.0,65.0,19.0,109.0,43.0,80.0,108.0,58.0,94.0,68.0,47.0,73.0,69.0
City20,50.0,45.0,117.0,73.0,95.0,41.0,120.0,73.0,49.0,57.0,53.0,75.0,88.0,74.0,72.0,71.0,72.0,70.0,40.0,0.0,111.0,81.0,78.0,70.0,77.0,52.0,30.0,78.0,59.0,108.0,51.0,68.0,62.0,61.0,31.0,55.0,9.0,63.0,66.0,104.0,59.0,57.0,50.0,111.0,86.0,89.0,44.0,63.0,82.0,56.0
City21,45.0,76.0,108.0,51.0,8.0,86.0,58.0,72.0,69.0,77.0,48.0,115.0,88.0,88.0,22.0,46.0,43.0,51.0,51.0,111.0,0.0,79.0,83.0,84.0,38.0,95.0,77.0,67.0,76.0,18.0,67.0,52.0,76.0,16.0,56.0,58.0,37.0,17.0,86.0,31.0,109.0,76.0,98.0,25.0,42.0,75.0,107.0,72.0,78.0,44.0
City22,43.0,51.0,69.0,125.0,23.0,13.0,68.0,47.0,65.0,38.0,79.0,120.0,66.0,71.0,65.0,39.0,30.0,71.0,36.0,81.0,79.0,0.0,82.0,29.0,100.0,36.0,12.0,38.0,75.0,78.0,70.0,55.0,41.0,59.0,46.0,107.0,94.0,107.0,55.0,36.0,92.0,54.0,30.0,91.0,30.0,68.0,58.0,82.0,61.0,53.0
City23,43.0,15.0,46.0,81.0,41.0,85.0,64.0,74.0,47.0,92.0,115.0,78.0,76.0,96.0,56.0,127.0,34.0,120.0,53.0,78.0,83.0,82.0,0.0,44.0,29.0,98.0,29.0,52.0,79.0,107.0,19.0,92.0,104.0,62.0,18.0,124.0,51.0,71.0,49.0,34.0,17.0,54.0,6.0,46.0,40.0,103.0,68.0,34.0,67.0,32.0
City24,73.0,64.0,88.0,76.0,66.0,95.0,79.0,29.0,98.0,108.0,14.0,34.0,49.0,31.0,63.0,62.0,29.0,52.0,85.0,70.0,84.0,29.0,44.0,0.0,65.0,68.0,65.0,84.0,49.0,121.0,111.0,37.0,125.0,82.0,43.0,100.0,35.0,62.0,115.0,46.0,54.0,73.0,119.0,43.0,76.0,62.0,45.0,28.0,15.0,23.0
City25,35.0,32.0,43.0,27.0,121.0,108.0,52.0,54.0,64.0,18.0,103.0,91.0,1.0,81.0,84.0,68.0,72.0,49.0,66.0,77.0,38.0,100.0,29.0,65.0,0.0,54.0,60.0,67.0,88.0,62.0,60.0,64.0,67.0,82.0,52.0,116.0,100.0,98.0,49.0,36.0,40.0,42.0,58.0,110.0,93.0,32.0,95.0,120.0,25.0,97.0
City26,39.0,49.0,38.0,36.0,47.0,36.0,77.0,14.0,88.0,89.0,81.0,76.0,115.0,44.0,95.0,48.0,12.0,70.0,31.0,52.0,95.0,36.0,98.0,68.0,54.0,0.0,57.0,58.0,101.0,5.0,67.0,85.0,43.0,81.0,51.0,92.0,41.0,68.0,52.0,103.0,97.0,76.0,78.0,56.0,112.0,75.0,85.0,83.0,52.0,51.0
City27,46.0,83.0,65.0,63.0,72.0,29.0,33.0,57.0,98.0,47.0,38.0,62.0,57.0,16.0,93.0,38.0,24.0,86.0,120.0,30.0,77.0,12.0,29.0,65.0,60.0,57.0,0.0,27.0,87.0,17.0,99.0,68.0,18.0,57.0,62.0,45.0,78.0,58.0,53.0,62.0,93.0,88.0,88.0,38.0,70.0,49.0,104.0,71.0,37.0,92.0
City28,78.0,5.0,85.0,54.0,112.0,58.0,61.0,110.0,85.0,97.0,82.0,91.0,79.0,42.0,42.0,36.0,10.0,50.0,54.0,78.0,67.0,38.0,52.0,84.0,67.0,58.0,27.0,0.0,62.0,25.0,62.0,70.0,99.0,80.0,26.0,55.0,55.0,103.0,63.0,55.0,111.0,63.0,27.0,99.0,100.0,67.0,92.0,99.0,54.0,103.0
City29,75.0,32.0,62.0,52.0,81.0,46.0,34.0,77.0,117.0,62.0,44.0,22.0,39.0,118.0,48.0,64.0,38.0,35.0,79.0,59.0,76.0,75.0,79.0,49.0,88.0,101.0,87.0,62.0,0.0,76.0,96.0,85.0,51.0,75.0,55.0,70.0,34.0,66.0,52.0,64.0,80.0,62.0,97.0,106.0,122.0,63.0,60.0,75.0,53.0,53.0
City30,68.0,39.0,16.0,73.0,37.0,97.0,42.0,64.0,91.0,84.0,63.0,67.0,24.0,37.0,84.0,33.0,65.0,79.0,68.0,108.0,18.0,78.0,107.0,121.0,62.0,5.0,17.0,25.0,76.0,0.0,60.0,77.0,63.0,110.0,110.0,40.0,64.0,65.0,77.0,84.0,81.0,42.0,64.0,46.0,18.0,74.0,82.0,46.0,98.0,79.0
City31,46.0,93.0,61.0,73.0,93.0,108.0,60.0,68.0,26.0,63.0,94.0,111.0,83.0,64.0,103.0,25.0,56.0,65.0,65.0,51.0,67.0,70.0,19.0,111.0,60.0,67.0,99.0,62.0,96.0,60.0,0.0,99.0,39.0,70.0,112.0,11.0,65.0,68.0,56.0,117.0,16.0,60.0,45.0,62.0,125.0,82.0,88.0,86.0,35.0,90.0
City32,98.0,71.0,46.0,108.0,61.0,57.0,55.0,59.0,75.0,40.0,44.0,35.0,48.0,72.0,100.0,51.0,32.0,81.0,73.0,68.0,52.0,55.0,92.0,37.0,64.0,85.0,68.0,70.0,85.0,77.0,99.0,0.0,117.0,15.0,97.0,79.0,33.0,105.0,25.0,62.0,87.0,114.0,66.0,75.0,68.0,80.0,71.0,75.0,79.0,44.0
City33,54.0,79.0,90.0,42.0,101.0,50.0,48.0,114.0,84.0,75.0,70.0,105.0,62.0,57.0,56.0,108.0,92.0,102.0,46.0,62.0,76.0,41.0,104.0,125.0,67.0,43.0,18.0,99.0,51.0,63.0,39.0,117.0,0.0,72.0,70.0,70.0,48.0,62.0,67.0,66.0,109.0,11.0,71.0,55.0,24.0,48.0,86.0,111.0,34.0,31.0
City34,38.0,61.0,98.0,56.0,72.0,69.0,89.0,62.0,25.0,96.0,76.0,85.0,53.0,99.0,73.0,73.0,66.0,34.0,19.0,61.0,16.0,59.0,62.0,82.0,82.0,81.0,57.0,80.0,75.0,110.0,70.0,15.0,72.0,0.0,58.0,85.0,64.0,48.0,59.0,102.0,107.0,87.0,59.0,23.0,52.0,54.0,47.0,51.0,80.0,44.0
City35,50.0,17.0,30.0,29.0,88.0,51.0,70.0,69.0,76.0,64.0,20.0,10.0,97.0,31.0,53.0,94.0,42.0,63.0,31.0,31.0,56.0,46.0,18.0,43.0,52.0,51.0,62.0,26.0,55.0,110.0,112.0,97.0,70.0,58.0,0.0,75.0,43.0,62.0,59.0,72.0,31.0,69.0,55.0,81.0,57.0,46.0,86.0,46.0,104.0,47.0
City36,17.0,122.0,54.0,55.0,75.0,88.0,35.0,52.0,38.0,108.0,84.0,72.0,40.0,55.0,43.0,103.0,126.0,43.0,95.0,55.0,58.0,107.0,124.0,100.0,116.0,92.0,45.0,55.0,70.0,40.0,11.0,79.0,70.0,85.0,75.0,0.0,56.0,54.0,9.0,96.0,38.0,97.0,42.0,82.0,39.0,53.0,76.0,80.0,33.0,37.0
City37,76.0,76.0,94.0,69.0,117.0,74.0,15.0,34.0,87.0,81.0,74.0,114.0,61.0,42.0,53.0,72.0,48.0,109.0,47.0,9.0,37.0,94.0,51.0,35.0,100.0,41.0,78.0,55.0,34.0,64.0,65.0,33.0,48.0,64.0,43.0,56.0,0.0,58.0,64.0,61.0,94.0,36.0,108.0,70.0,40.0,41.0,24.0,64.0,13.0,11.0
City38,89.0,112.0,38.0,118.0,107.0,41.0,80.0,85.0,83.0,49.0,54.0,19.0,65.0,67.0,67.0,22.0,31.0,54.0,37.0,63.0,17.0,107.0,71.0,62.0,98.0,68.0,58.0,103.0,66.0,65.0,68.0,105.0,62.0,48.0,62.0,54.0,58.0,0.0,57.0,72.0,105.0,39.0,92.0,53.0,108.0,99.0,61.0,45.0,54.0,46.0
City39,63.0,126.0,54.0,82.0,62.0,48.0,73.0,63.0,76.0,41.0,90.0,72.0,26.0,64.0,27.0,30.0,40.0,61.0,65.0,66.0,86.0,55.0,49.0,115.0,49.0,52.0,53.0,63.0,52.0,77.0,56.0,25.0,67.0,59.0,59.0,9.0,64.0,57.0,0.0,39.0,19.0,46.0,69.0,60.0,71.0,76.0,68.0,60.0,58.0,31.0
City40,57.0,24.0,68.0,56.0,79.0,63.0,40.0,79.0,91.0,65.0,78.0,52.0,58.0,99.0,27.0,52.0,120.0,84.0,19.0,104.0,31.0,36.0,34.0,46.0,36.0,103.0,62.0,55.0,64.0,84.0,117.0,62.0,66.0,102.0,72.0,96.0,61.0,72.0,39.0,0.0,60.0,63.0,125.0,89.0,73.0,96.0,95.0,30.0,55.0,69.0
City41,86.0,80.0,17.0,88.0,19.0,113.0,82.0,18.0,74.0,74.0,89.0,68.0,24.0,45.0,101.0,88.0,87.0,108.0,109.0,59.0,109.0,92.0,17.0,54.0,40.0,97.0,93.0,111.0,80.0,81.0,16.0,87.0,109.0,107.0,31.0,38.0,94.0,105.0,19.0,60.0,0.0,22.0,76.0,98.0,38.0,49.0,68.0,97.0,52.0,95.0
City42,74.0,100.0,76.0,34.0,64.0,101.0,45.0,12.0,47.0,45.0,35.0,99.0,104.0,64.0,77.0,122.0,64.0,115.0,43.0,57.0,76.0,54.0,54.0,73.0,42.0,76.0,88.0,63.0,62.0,42.0,60.0,114.0,11.0,87.0,69.0,97.0,36.0,39.0,46.0,63.0,22.0,0.0,108.0,31.0,56.0,78.0,104.0,41.0,49.0,71.0
City43,35.0,63.0,51.0,96.0,87.0,27.0,47.0,47.0,98.0,47.0,86.0,81.0,98.0,22.0,21.0,95.0,63.0,121.0,80.0,50.0,98.0,30.0,6.0,119.0,58.0,78.0,88.0,27.0,97.0,64.0,45.0,66.0,71.0,59.0,55.0,42.0,108.0,92.0,69.0,125.0,76.0,108.0,0.0,78.0,24.0,73.0,46.0,78.0,70.0,28.0
City44,68.0,57.0,99.0,36.0,41.0,54.0,84.0,40.0,48.0,100.0,69.0,76.0,98.0,82.0,79.0,101.0,33.0,62.0,108.0,111.0,25.0,91.0,46.0,43.0,110.0,56.0,38.0,99.0,106.0,46.0,62.0,75.0,55.0,23.0,81.0,82.0,70.0,53.0,60.0,89.0,98.0,31.0,78.0,0.0,55.0,61.0,67.0,82.0,35.0,25.0
City45,62.0,36.0,60.0,53.0,30.0,87.0,58.0,87.0,56.0,77.0,61.0,57.0,88.0,60.0,26.0,58.0,19.0,51.0,58.0,86.0,42.0,30.0,40.0,76.0,93.0,112.0,70.0,100.0,122.0,18.0,125.0,68.0,24.0,52.0,57.0,39.0,40.0,108.0,71.0,73.0,38.0,56.0,24.0,55.0,0.0,79.0,16.0,73.0,80.0,75.0
City46,57.0,22.0,42.0,44.0,71.0,66.0,99.0,30.0,56.0,37.0,71.0,16.0,80.0,35.0,35.0,12.0,62.0,74.0,94.0,89.0,75.0,68.0,103.0,62.0,32.0,75.0,49.0,67.0,63.0,74.0,82.0,80.0,48.0,54.0,46.0,53.0,41.0,99.0,76.0,96.0,49.0,78.0,73.0,61.0,79.0,0.0,50.0,99.0,79.0,70.0
City47,76.0,39.0,83.0,78.0,88.0,113.0,57.0,81.0,71.0,102.0,78.0,82.0,85.0,15.0,103.0,52.0,57.0,17.0,68.0,44.0,107.0,58.0,68.0,45.0,95.0,85.0,104.0,92.0,60.0,82.0,88.0,71.0,86.0,47.0,86.0,76.0,24.0,61.0,68.0,95.0,68.0,104.0,46.0,67.0,16.0,50.0,0.0,39.0,42.0,89.0
City48,97.0,48.0,67.0,97.0,52.0,79.0,44.0,98.0,120.0,116.0,109.0,23.0,57.0,23.0,69.0,60.0,61.0,7.0,47.0,63.0,72.0,82.0,34.0,28.0,120.0,83.0,71.0,99.0,75.0,46.0,86.0,75.0,111.0,51.0,46.0,80.0,64.0,45.0,60.0,30.0,97.0,41.0,78.0,82.0,73.0,99.0,39.0,0.0,52.0,23.0
City49,3.0,71.0,32.0,20.0,104.0,77.0,75.0,42.0,51.0,95.0,23.0,40.0,73.0,78.0,48.0,55.0,51.0,81.0,73.0,82.0,78.0,61.0,67.0,15.0,25.0,52.0,37.0,54.0,53.0,98.0,35.0,79.0,34.0,80.0,104.0,33.0,13.0,54.0,58.0,55.0,52.0,49.0,70.0,35.0,80.0,79.0,42.0,52.0,0.0,15.0
City50,97.0,100.0,119.0,86.0,59.0,40.0,71.0,63.0,87.0,12.0,97.0,82.0,24.0,76.0,99.0,66.0,80.0,11.0,69.0,56.0,44.0,53.0,32.0,23.0,97.0,51.0,92.0,103.0,53.0,79.0,90.0,44.0,31.0,44.0,47.0,37.0,11.0,46.0,31.0,69.0,95.0,71.0,28.0,25.0,75.0,70.0,89.0,23.0,15.0,0.0
