Column1,City1,City2,City3,City4,City5,City6,City7,City8,City9,City10,City11,City12,City13,City14,City15,City16,City17,City18,City19,City20,City21,City22,City23,City24,City25,City26,City27,City28,City29,City30
City16,59.0,55.0,20.0,41.0,54.0,42.0,33.0,45.0,41.0,26.0,4.0,17.0,48.0,38.0,53.0,0.0,34.0,41.0,19.0,16.0,54.0,37.0,66.0,23.0,51.0,43.0,27.0,50.0,42.0,43.0
City17,44.0,44.0,33.0,45.0,57.0,25.0,32.0,44.0,26.0,62.0,40.0,40.0,24.0,31.0,22.0,34.0,0.0,32.0,31.0,14.0,61.0,51.0,32.0,69.0,57.0,58.0,66.0,37.0,40.0,21.0
City18,64.0,12.0,67.0,47.0,36.0,41.0,55.0,26.0,25.0,19.0,45.0,54.0,40.0,34.0,39.0,41.0,32.0,0.0,43.0,33.0,26.0,55.0,43.0,28.0,39.0,47.0,33.0,43.0,56.0,14.0
City19,47.0,44.0,66.0,74.0,30.0,19.0,53.0,44.0,50.0,33.0,54.0,7.0,52.0,18.0,37.0,19.0,31.0,43.0,0.0,41.0,53.0,75.0,33.0,58.0,39.0,48.0,49.0,42.0,37.0,21.0
City20,35.0,43.0,32.0,24.0,53.0,16.0,20.0,46.0,25.0,39.0,44.0,42.0,44.0,31.0,29.0,16.0,14.0,33.0,41.0,0.0,13.0,12.0,11.0,29.0,34.0,24.0,38.0,44.0,40.0,19.0
City21,38.0,30.0,25.0,58.0,59.0,23.0,39.0,56.0,9.0,61.0,39.0,33.0,37.0,25.0,51.0,54.0,61.0,26.0,53.0,13.0,0.0,32.0,34.0,37.0,10.0,49.0,41.0,19.0,50.0,43.0
City22,25.0,28.0,31.0,42.0,44.0,21.0,16.0,43.0,56.0,51.0,41.0,64.0,49.0,45.0,57.0,37.0,51.0,55.0,75.0,12.0,32.0,0.0,48.0,28.0,58.0,54.0,68.0,24.0,42.0,53.0
City23,49.0,20.0,25.0,62.0,42.0,44.0,55.0,40.0,63.0,37.0,45.0,18.0,39.0,43.0,5.0,66.0,32.0,43.0,33.0,11.0,34.0,48.0,0.0,33.0,5.0,36.0,18.0,37.0,54.0,22.0
City24,52.0,27.0,39.0,11.0,31.0,52.0,36.0,24.0,45.0,33.0,45.0,25.0,64.0,27.0,58.0,23.0,69.0,28.0,58.0,29.0,37.0,28.0,33.0,0.0,39.0,13.0,41.0,40.0,49.0,55.0
City25,55.0,34.0,47.0,40.0,33.0,46.0,17.0,24.0,58.0,40.0,70.0,3.0,18.0,13.0,22.0,51.0,57.0,39.0,39.0,34.0,10.0,58.0,5.0,39.0,0.0,45.0,22.0,57.0,15.0,33.0
City26,68.0,43.0,29.0,43.0,49.0,25.0,39.0,48.0,34.0,6.0,53.0,57.0,46.0,35.0,54.0,43.0,58.0,47.0,48.0,24.0,49.0,54.0,36.0,13.0,45.0,0.0,23.0,39.0,34.0,21.0
City27,46.0,43.0,23.0,45.0,42.0,40.0,36.0,41.0,31.0,41.0,47.0,60.0,16.0,53.0,25.0,27.0,66.0,33.0,49.0,38.0,41.0,68.0,18.0,41.0,22.0,23.0,0.0,14.0,41.0,41.0
City28,30.0,19.0,30.0,27.0,25.0,54.0,55.0,20.0,31.0,36.0,31.0,54.0,22.0,59.0,38.0,50.0,37.0,43.0,42.0,44.0,19.0,24.0,37.0,40.0,57.0,39.0,14.0,0.0,46.0,53.0
City29,55.0,26.0,26.0,16.0,33.0,38.0,39.0,56.0,23.0,42.0,55.0,50.0,45.0,53.0,69.0,42.0,40.0,56.0,37.0,40.0,50.0,42.0,54.0,49.0,15.0,34.0,41.0,46.0,0.0,35.0
City30,45.0,33.0,61.0,52.0,43.0,61.0,56.0,31.0,47.0,54.0,75.0,33.0,20.0,62.0,38.0,43.0,21.0,14.0,21.0,19.0,43.0,53.0,22.0,55.0,33.0,21.0,41.0,53.0,35.0,0.0
